County,CrimesPer100K,Pop100K,Physicians,HSGrad,Bachelors,Poverty,Unemploy,Region
"Los_Angeles, CA",77.73,88.63164,23677,70,22.3,11.6,8,W
"Cook, IL",85.589,51.05067,15153,73.4,22.8,11.1,7.2,NC
"Harris, TX",89.96,28.18199,7553,74.9,25.4,12.5,5.7,S
"San_Diego, CA",69.584,24.98016,5905,81.9,25.3,8.1,6.1,W
"Orange, CA",59.955,24.10556,6062,81.2,27.8,5.2,4.8,W
"Kings, NY",295.987,23.00664,4861,63.7,16.6,19.5,9.5,NE
"Maricopa, AZ",83.687,21.22101,4320,81.5,22.1,8.8,4.9,W
"Wayne, MI",91.859,21.11687,3823,70,13.7,16.9,10,NC
"Dade, FL",126.336,19.37094,6274,65,18.8,14.2,8.7,S
"Dallas, TX",115.639,18.5281,4718,77.1,26.3,10.4,6.1,S
"Philadelphia, PA",68.838,15.85577,6641,64.3,15.2,16.1,8,NE
"King, WA",82.901,15.07319,5280,88.2,32.8,5,4.6,W
"Santa_Clara, CA",51.422,14.97577,4101,82,32.6,5,5.5,W
"San_Bernardino, CA",58.595,14.1838,2463,75.4,14.9,10.3,8,W
"Cuyahoga, OH",51.801,14.1214,5620,74,20.1,11,5.5,NC
"Middlesex, MA",25.617,13.98468,5158,84.3,35.4,4.2,7.3,NE
"Allegheny, PA",37.552,13.36449,5281,79,22.6,8.7,5.3,NE
"Suffolk, NY",50.476,13.21864,3021,82.2,23,3.3,7,NE
"Nassau, NY",33.56,12.87348,6147,84.2,30,2.5,5.1,NE
"Alameda, CA",83.911,12.79182,3169,81.4,28.8,8.1,5.3,W
"Broward, FL",85.533,12.55488,2456,76.8,18.8,7.1,7.4,S
"Bexar, TX",112.282,11.85394,3062,72.7,19.7,16.2,6.7,S
"Riverside, CA",81.59,11.70413,1385,74.1,14.6,8.4,10.7,W
"Tarrant, TX",113.234,11.70103,1677,79.9,24,8.2,6.6,S
"Oakland, MI",47.032,10.83592,4020,84.6,30.2,4.4,7.3,NC
"Sacramento, CA",80.968,10.41219,2464,82.2,23,9.8,6.3,W
"Hennepin, MN",69.499,10.32431,3706,88.2,31.6,6.4,4.3,NC
"St._Louis, MO",42.872,9.93529,1194,82.3,29.2,4,5.1,NC
"Erie, NY",57.103,9.68532,2748,76.4,20,9.4,6.8,NE
"Franklin, OH",85.996,9.61437,2675,81,26.6,9.1,4.2,NC
"Milwaukee, WI",76.809,9.59275,2774,76.3,19.3,12.6,4.9,NC
"Westchester, NY",42.427,8.74866,4577,81,35.3,4.7,5.4,NE
"Hamilton, OH",66.043,8.66228,3164,75.6,23.7,10.3,4.5,NC
"Palm_Beach, FL",88.177,8.63518,1833,78.8,22.1,6.2,8.4,S
"Hartford, CT",60.962,8.51783,2851,77.7,25.8,6,6.9,NE
"Pinellas, FL",73.203,8.51659,1620,78.1,18.5,6.2,6.2,S
"Honolulu, HI",61.026,8.36231,2025,81.2,24.6,5.4,2.3,W
"Hillsborough, FL",107.781,8.34054,2012,75.6,20.2,9.5,6,S
"Fairfield, CT",53.615,8.27645,2417,81,34.2,4.5,5.9,NE
"Shelby, TN",81.12,8.2633,2489,75.1,20.8,14.7,5.4,S
"Bergen, NJ",34.555,8.2538,3226,81.6,31.7,2.7,5.2,NE
"Fairfax_County, VA",36.895,8.18584,1694,91.4,49,2.2,3.2,S
"New_Haven, CT",65.782,8.04219,3161,77.5,24.2,6,7.3,NE
"Contra_Costa, CA",63.756,8.03732,1761,86.5,31.6,5.5,5.6,W
"Marion, IN",76.527,7.97159,2936,76.8,21.4,9.3,5,NC
"DuPage, IL",38.006,7.81666,2157,88.6,36,1.7,4.8,NC
"Essex, NJ",97.14,7.78206,2811,70.1,24,11.3,7.9,NE
"Montgomery, MD",45.909,7.57027,4635,90.6,49.9,2.7,3.3,S
"Clark, NV",71.192,7.41459,969,77.3,13.8,7.5,5.8,W
"Baltimore_City, MD",118.687,7.36014,5444,60.7,15.5,17.8,9.4,S
"Prince_George's, MD",74.69,7.29268,1253,83.2,25.5,3.7,5,S
"Salt_Lake, UT",80.735,7.25956,2094,85.3,23.8,7.7,4.5,W
"San_Francisco, CA",98.395,7.23959,4761,78,35,9.7,5.6,W
"Macomb, MI",57.218,7.174,705,76.9,13.5,4,9.4,NC
"Monroe, NY",61.319,7.13968,2438,80.1,26.3,7.7,4.4,NE
"Worcester, MA",10.003,7.09705,1902,77.4,22.2,6.3,10.2,NE
"Baltimore, MD",67.601,6.92134,1269,78.4,25,3.8,5.7,S
"Montgomery, PA",29.988,6.78111,3237,83.8,32.1,2.2,5,NE
"Orange, FL",77.605,6.77491,1367,78.8,21.2,7.8,6.6,S
"Duval, FL",101.915,6.72971,1538,76.9,18.4,9.8,6.6,S
"Middlesex, NJ",45.473,6.7178,1637,79.4,26.5,3.4,5.7,NE
"Essex, MA",51.206,6.7008,1185,80.2,25.9,7.5,9,NE
"Ventura, CA",45.193,6.69016,1168,79.4,23,5,7,W
"Fresno, CA",92.891,6.6749,1188,66.2,16.9,16.8,12.6,W
"Pima, AZ",85.549,6.6688,1841,80.5,23.3,12,3.9,W
"Jefferson, KY",48.755,6.64937,2171,74.1,19.3,10.9,6.3,S
"Suffolk, MA",103.641,6.63906,5674,75.4,27.7,14.4,8.7,NE
"Jefferson, AL",85.344,6.51525,2532,73.8,19.9,12.7,5.3,S
"San_Mateo, CA",46.909,6.49623,1814,84.1,31.3,4.3,4.2,W
"Fulton, GA",143.347,6.48951,3368,77.8,31.6,15.4,5.3,S
"Jackson, MO",97.531,6.33232,1695,79.5,20,9.8,6.5,NC
"Norfolk, MA",24.071,6.16087,2758,88,34.4,3.1,7.5,NE
"District_of_Columbia, DC",106.102,6.069,3674,73.1,33.3,13.3,7.7,S
"Oklahoma, OK",95.137,5.99611,1922,79.1,22.6,11.3,6,S
"Providence, RI",58.073,5.9627,1862,67,18.3,8.9,9,NE
"El_Paso, TX",91.28,5.9161,795,63.7,15.2,22.4,10.8,S
"Pierce, WA",71.613,5.86203,915,83.2,17.5,8.7,6.4,W
"Multnomah, OR",99.704,5.83887,2571,82.9,23.7,8.9,5.1,W
"Travis, TX",105.76,5.76407,1254,83.4,34.7,10.2,4.8,S
"Montgomery, OH",63.898,5.73809,1313,77.8,20,9.8,5.7,NC
"Monmouth, NJ",40.32,5.53124,1300,82.8,28.4,3.4,5.8,NE
"Hudson, NJ",73.37,5.53099,1036,64.1,19.7,12.4,9,NE
"Delaware, PA",34.555,5.47651,1374,81.4,24.8,5,5.3,NE
"De_Kalb, GA",104.335,5.45837,1036,83.9,32.7,7.2,4.4,S
"Kern, CA",66.825,5.43477,682,67.6,13.3,13.7,11.8,W
"Bucks, PA",31.217,5.41174,879,82.9,24.8,2.9,6.7,NE
"Lake, IL",43.277,5.16418,1093,84.7,32,3.7,4.6,NC
"Summit, OH",50.929,5.1499,1216,78.3,19.7,9.5,6,NC
"Mecklenburg, NC",113.405,5.11433,1114,81.6,28.3,7.2,4.8,S
"Davidson, TN",88.564,5.10784,2293,75.9,24.4,10,4.6,S
"Bristol, MA",43.496,5.06325,572,65,15.9,7.4,12.3,NE
"Tulsa, OK",78.468,5.03341,1158,81.7,23.7,10,6.1,S
"Camden, NJ",69.237,5.02824,1255,75.5,21,8,6.9,NE
"Kent, MI",63.026,5.00631,1007,80.3,20.7,6.9,7.5,NC
"Orleans, LA",109.144,4.96938,2500,68.1,22.4,27.3,6.1,S
"Union, NJ",61.356,4.93819,1362,75.2,25,5.3,6.9,NE
"Ramsey, MN",62.94,4.85765,1512,85,28.8,8.1,4.3,NC
"San_Joaquin, CA",85.677,4.80628,666,68.6,13.2,12,12,W
"Bernalillo, NM",85.897,4.80577,1585,82.1,26.7,10.9,5.2,W
"Lake, IN",62.923,4.75594,707,73.5,12.8,11.7,7.1,NC
"Onondaga, NY",49.574,4.68973,1534,80.7,24.4,7.1,5.6,NE
"Denver, CO",80.122,4.6761,2867,79.2,29,13.1,5.4,W
"Snohomish, WA",43.645,4.65642,502,85.7,19.3,4.9,5.6,W
"Lucas, OH",82.606,4.62361,1391,76.2,17,12,8.8,NC
"Hampden, MA",53.137,4.5631,904,73.6,17.6,10.9,9.6,NE
"Passaic, NJ",58.345,4.5306,831,68.8,18.7,7.6,8.1,NE
"Jefferson, LA",92.85,4.48306,1237,76,18.8,11.4,5.6,S
"Cobb, GA",61.602,4.47745,622,85.8,33,3.8,4.1,S
"New_Castle, DE",62.716,4.41946,1038,80.6,25.2,5,6.2,NE
"Jefferson, CO",53.493,4.3843,551,89.8,30.7,4.1,4.1,W
"Plymouth, MA",34.107,4.35276,576,83.8,22.2,5.3,10.4,NE
"Ocean, NJ",40.117,4.33203,513,74.9,15.3,4.3,7.4,NE
"Genesee, MI",76.978,4.30459,692,76.8,12.8,14,12.6,NC
"Anne_Arundel, MD",51.086,4.27239,616,81.1,24.6,3,5,S
"Wake, NC",61.425,4.2338,761,85.4,35.3,5.5,3.5,S
"Lancaster, PA",30.949,4.22822,574,70.5,16.7,5.3,5.3,NE
"Morris, NJ",28.829,4.21353,1147,87,36.7,1.8,5.1,NE
"Douglas, NE",62.448,4.16444,1603,84.5,24.9,8.1,2.9,NC
"Polk, FL",91.987,4.05382,559,68,12.9,9.4,10.1,S
"Sedgwick, KS",84.405,4.03662,930,82.4,22.2,8.3,4.5,NC
"Brevard, FL",59.367,3.98978,563,82.3,20.4,6.3,7.1,S
"El_Paso, CO",63.559,3.97014,548,88.3,25.8,8.1,6.1,W
"St._Louis_City, MO",161.597,3.96685,4189,62.8,15.3,20.6,9,NC
"Burlington, NJ",32.992,3.95066,719,81.9,23.6,3.1,5.6,NE
"VA_Beach_City, VA",59.562,3.93069,679,88,25.5,4.3,5.4,S
"Arapahoe, CO",70.463,3.91511,583,91.5,35.2,4.4,3.9,W
"Sonoma, CA",47.797,3.88222,840,84.4,24.5,5.2,5.7,W
"Hidalgo, TX",69.645,3.83545,311,46.6,11.5,36.3,17.6,S
"East_Baton_Rouge, LA",109.422,3.80105,841,80.5,27.5,15.1,5.4,S
"Mobile, AL",80.31,3.78643,850,70.1,15.5,17.5,7.2,S
"Chester, PA",25.215,3.76396,594,84.9,34.7,3,4.6,NE
"Volusia, FL",69.423,3.70712,495,75.4,14.8,7.9,6.9,S
"Stanislaus, CA",68.717,3.70522,558,68.4,13,11.4,14.3,W
"Westmoreland, PA",20.104,3.70321,522,77.7,15.4,8.6,6.9,NE
"Santa_Barbara, CA",49.547,3.69608,875,80,26.6,7.4,6,W
"Stark, OH",47.516,3.67585,595,76,14.3,8.9,6.9,NC
"Dane, WI",55.42,3.67085,1603,88.9,34.2,4.8,3.1,NC
"Spokane, WA",55.462,3.61364,852,84.4,20.6,9.8,6.2,W
"Will, IL",45.988,3.57313,298,80.4,18,4.5,7.4,NC
"Monterey, CA",50.245,3.5566,515,72.9,21.5,8.5,10.9,W
"Johnson, KS",42.917,3.55054,1173,92.9,40.5,2.5,3.3,NC
"Gwinnett, GA",48.508,3.5291,271,86.7,29.6,2.9,4,S
"Pulaski, AR",121.272,3.4966,1510,79,23.5,10.5,5.8,S
"Guilford, NC",81.204,3.4742,676,76.1,24.8,7.3,5.4,S
"Solano, CA",63.909,3.40421,481,82.7,18.7,6,7,W
"York, PA",33.253,3.39574,460,72.8,13.9,4.3,6.2,NE
"Berks, PA",38.116,3.36523,567,70,15.1,5.2,6.7,NE
"Hillsborough, NH",38.215,3.36073,587,82.2,26.4,4,7.5,NE
"Knox, TN",66.782,3.35749,984,74.6,23.9,10.2,4.6,S
"Lee, FL",55.032,3.35113,509,76.9,16.4,6.1,6.4,S
"Luzerne, PA",15.182,3.28149,594,72,13.1,8.3,8.8,NE
"Mercer, NJ",61.852,3.25824,994,77.1,29.5,5.3,5.5,NE
"Greenville, SC",64.042,3.20167,650,71.6,21,7.8,4.9,S
"Kane, IL",52.669,3.17471,473,77.7,21.4,5,7.5,NC
"Tulare, CA",62.481,3.11921,358,60.2,11.8,18,17.1,W
"Washington, OR",40.539,3.11554,353,88.2,29.8,4.8,4.4,W
"Orange, NY",35.674,3.07647,479,77.2,19.5,6.4,6.7,NE
"Waukesha, WI",29.322,3.04715,687,88,27.1,2.2,4.1,NC
"Allen, IN",65.956,3.00836,552,81.2,19,5.6,5.9,NC
"Charleston, SC",95.547,2.95039,1357,75.5,22.4,13.8,4.9,S
"Albany, NY",51.529,2.92594,1257,80.9,28.3,6,4.5,NE
"Butler, OH",47.516,2.91479,308,76,18.7,7.6,6.6,NC
"Nueces, TX",98.253,2.91145,584,68.9,17,17.2,7.7,S
"Lehigh, PA",42.091,2.9113,637,74.6,19.6,4.9,6.6,NE
"Seminole, FL",60.926,2.87529,357,84.6,26.3,5.3,6.1,S
"Richland, SC",84.352,2.8572,999,79.4,28,10.1,4.6,S
"Hamilton, TN",82.413,2.85536,738,72.5,19.7,10.2,5.9,S
"Washtenaw, MI",68.45,2.82937,2188,87.2,41.9,6.4,6,NC
"Lane, OR",56.876,2.82912,497,83,22.2,9.4,6.5,W
"Ingham, MI",61.498,2.81912,729,83.9,29.2,11,6.9,NC
"Pasco, FL",44.495,2.81131,308,66.9,9.1,7.9,8.3,S
"Clackamas, OR",46.1,2.7885,462,85.7,23.6,4.7,4.2,W
"Sarasota, FL",71.284,2.77776,631,81.3,21.9,4.6,5.1,S
"Erie, PA",36.056,2.75572,468,77.5,16.2,9.5,7.1,NE
"Dakota, MN",39.796,2.75227,201,90.7,27.6,3.3,4.7,NC
"Cumberland, NC",91.952,2.74566,291,80.3,16.6,12.1,6.4,S
"Denton, TX",74.479,2.73525,216,86.8,32.3,4.5,5.6,S
"Lorain, OH",36.382,2.71126,291,75.3,12.3,9.1,9.5,NC
"Forsyth, NC",81.067,2.65878,1194,77.6,24.1,7.8,4.4,S
"Rockland, NY",27.099,2.65475,931,83.3,33,4.1,5.3,NE
"Adams, CO",73.08,2.65038,439,78.8,13,8.8,5,W
"Mahoning, OH",49.776,2.64806,601,74.6,14,12.8,6.7,NC
"Collin, TX",66.752,2.64036,282,88.3,39.1,3.9,5.9,S
"Utah, UT",40.233,2.6359,291,87.9,26.2,10.6,4.3,W
"St._Clair, IL",55.404,2.62852,329,72.6,14.7,13.9,8.4,NC
"Escambia, FL",54.719,2.62798,522,76.2,18.2,13.3,5.8,S
"Norfolk_City, VA",96.444,2.61229,1101,72.7,16.8,15.1,6.4,S
"Cameron, TX",72.436,2.6012,270,50,12,33.7,12.5,S
"Dutchess, NY",35.022,2.59462,535,79.8,24.8,3.6,5.1,NE
"New_London, CT",30.621,2.54957,486,80.9,21.8,4.7,6.8,NE
"Washoe, NV",73.944,2.54667,603,82.5,20.7,6.3,5,W
"Hinds, MS",113.35,2.54441,1076,75.2,26.4,16.7,6.3,S
"Winnebago, IL",77.79,2.52913,521,76.3,16.7,7.7,7.9,NC
"Oneida, NY",36.813,2.50836,437,75.1,16.7,8.8,6.7,NE
"Madison, IL",42.794,2.49238,275,75.8,14.4,8.5,7.9,NC
"Caddo, LA",88.986,2.48253,898,73.4,18.2,19.1,7.1,S
"Northampton, PA",26.11,2.47105,459,73.1,16.7,4.9,6.8,NE
"St._Joseph, IN",43.056,2.47052,417,76.1,19.2,7.1,5.7,NC
"Rockingham, NH",29.673,2.45845,343,86.2,25.9,3.2,8,NE
"Cumberland, ME",56.824,2.43135,732,85,27.6,5.7,5.7,NE
"Somerset, NJ",34.576,2.40279,783,86.3,38.3,1.4,4.1,NE
"Jefferson, TX",90.548,2.39397,449,74.4,15.5,15.5,6.7,S
"Madison, AL",27.772,2.38912,399,80.2,30.1,8.4,5.2,S
"Clark, WA",44.973,2.38053,256,83.9,16.8,7,6.6,W
"Dauphin, PA",48.622,2.37813,824,77.6,18.6,7.2,5.5,NE
"Marin, CA",41.113,2.30096,1001,91.9,44,3,4,W
"Gloucester, NJ",42.359,2.30082,199,77.5,18.1,4.7,7.1,NE
"Santa_Cruz, CA",59.665,2.29734,429,81.9,29.7,6.2,8,W
"Marion, OR",64.884,2.28483,376,78.7,17.5,9.4,5.7,W
"Trumbull, OH",32.11,2.27813,225,75.2,11.4,9.4,7.9,NC
"Spartanburg, SC",75.829,2.268,375,63,14.3,8.8,5.5,S
"Fort_Bend, TX",41.846,2.25421,231,80.9,30.2,6.9,3.8,S
"Fayette, KY",77.11,2.25366,1248,80.2,30.6,10.2,3.8,S
"Boulder, CO",62.679,2.25339,452,91.3,42.1,5.6,3.5,W
"Atlantic, NJ",112.189,2.24327,379,72.9,16.4,6.4,8.3,NE
"Kalamazoo, MI",68.511,2.23411,614,83.4,27.1,8.9,5.9,NC
"Lubbock, TX",65.169,2.22636,655,74.2,23.4,13.2,5.6,S
